workerid,proliferate.condition,accuracy,category,correct,dataType,internal_node_id,item,question_order,refExp,response,result,rt,stimulus,time_elapsed,trial_index,trial_type,error
1833,Main,,irb,,,0.0-0.0,,,,0,,1693,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",1703,0,html-button-response,
1833,Main,,instructions,,,0.0-1.0,,,, ,,2375,"In this experiment, you will read a series of short headlines from a variety of American news sources. You will then be asked to indicate whether you believe the headlines come from a progressive news source, a conservative news source, or a politically moderate news source. Please try and answer as honestly as possible; if you are unsure about the political leaning of the publication, that is okay. Pick the source that you find <em>most appropriate</em>.<br><br>When you're ready to begin, press the space bar.<br><br><strong>Content Warning: This experiment contains discussions some participants may find distressing. These include, but are not limited to: natural disasters, violence and death, and discrimination. You may close the window at any time.",4081,1,html-keyboard-response,
1833,Main,,trials,,Filler,0.0-2.0-0.0,41,,,1,Progressive News Source,12159,Beyoncé Used This Storm-Resistant Setting Spray On The Renaissance World Tour,16241,2,html-button-response,
1833,Main,,trials,,Filler,0.0-2.0-0.1,43,,,2,Moderate News Source,4511,Why AI Can't Replace Air Traffic Controllers,20755,3,html-button-response,
1833,Main,,trials,,Filler,0.0-2.0-0.2,33,,,2,Moderate News Source,5451,State Attorneys General Combat Joe Biden's Move To Use AI To Censor 'Disinformation',26208,4,html-button-response,
1833,Main,,trials,,Filler,0.0-2.0-0.3,37,,,0,Conservative News Source,7934,Establishment Media Defend Biden's 'Poor' Memory,34143,5,html-button-response,
1833,Main,,trials,,Filler,0.0-2.0-0.4,45,,,2,Moderate News Source,5929,"Usher Brings Out Special Guests Alicia Keys, H.E.R And Will.I.Am In The Super Bowl Halftime Show",40075,6,html-button-response,
1833,Main,,trials,NPR,Attention,0.0-2.0-0.5,55,,,2,Moderate News Source,5649,NPR Exclusive: Exclusive: The Education Department Says It Will Fix Its $1.8 Billion FAFSA Mistake,45725,7,html-button-response,
1833,Main,,trials,,Critical,0.0-2.0-0.6,9,,Biological Male,0,Conservative News Source,5268,Twitter Suspends Charlie Kirk For Calling Biological Male Rachel Levine A 'Man',50995,8,html-button-response,
1833,Main,,trials,,Filler,0.0-2.0-0.7,21,,,2,Moderate News Source,5109,"Senate Advances Military Aid To Ukraine, Israel And Taiwan",56106,9,html-button-response,
1833,Main,,trials,,Critical,0.0-2.0-0.8,17,,Transgender Woman,0,Conservative News Source,3401,Transgender Woman Sues Delivery Company For Anti-Trans Discrimination,59510,10,html-button-response,
1833,Main,,trials,,Critical,0.0-2.0-0.9,5,,Biological Male,1,Progressive News Source,6124,Ilhan Omar Wants USA Powerlifting Investigated For Banning Biological Male From Competing In Women's Events,65636,11,html-button-response,
1833,Main,,trials,,Critical,0.0-2.0-0.10,2,,Biological Female,0,Conservative News Source,2576,Biological Female Wins Cycling Men's Championship,68213,12,html-button-response,
1833,Main,,trials,,Filler,0.0-2.0-0.11,49,,,2,Moderate News Source,859,"Beware Misleading AI Hype And 'AI-Washing,' Sec Chair Warns",69074,13,html-button-response,
1833,Main,,trials,,Filler,0.0-2.0-0.12,30,,,1,Progressive News Source,2047,A 13-Year-Old In Oklahoma May Have Just Become The 1st Person To Ever Beat Tetris,71123,14,html-button-response,
1833,Main,,trials,,Critical,0.0-2.0-0.13,13,,Transgender Man,0,Conservative News Source,1423,Transgender Man 'Kept Away From Peers' In Gender-Based Shelters During Mass Shooting Drill,72547,15,html-button-response,
